"unit","geo","time","values"
"PPS_HAB_EU","AT11",2003,86
"PPS_HAB_EU","AT12",2003,103
"PPS_HAB_EU","AT13",2003,174
"PPS_HAB_EU","AT21",2003,106
"PPS_HAB_EU","AT22",2003,110
"PPS_HAB_EU","AT31",2003,124
"PPS_HAB_EU","AT32",2003,141
"PPS_HAB_EU","AT33",2003,131
"PPS_HAB_EU","AT34",2003,131
"PPS_HAB_EU","BE10",2003,243
"PPS_HAB_EU","BE21",2003,143
"PPS_HAB_EU","BE22",2003,102
"PPS_HAB_EU","BE23",2003,108
"PPS_HAB_EU","BE24",2003,125
"PPS_HAB_EU","BE25",2003,115
"PPS_HAB_EU","BE31",2003,122
"PPS_HAB_EU","BE32",2003,81
"PPS_HAB_EU","BE33",2003,90
"PPS_HAB_EU","BE34",2003,85
"PPS_HAB_EU","BE35",2003,85
"PPS_HAB_EU","BG31",2003,27
"PPS_HAB_EU","BG32",2003,27
"PPS_HAB_EU","BG33",2003,29
"PPS_HAB_EU","BG34",2003,30
"PPS_HAB_EU","BG41",2003,48
"PPS_HAB_EU","BG42",2003,25
"PPS_HAB_EU","CY00",2003,94
"PPS_HAB_EU","CZ01",2003,163
"PPS_HAB_EU","CZ02",2003,74
"PPS_HAB_EU","CZ03",2003,71
"PPS_HAB_EU","CZ04",2003,64
"PPS_HAB_EU","CZ05",2003,66
"PPS_HAB_EU","CZ06",2003,69
"PPS_HAB_EU","CZ07",2003,61
"PPS_HAB_EU","CZ08",2003,59
"PPS_HAB_EU","DE11",2003,151
"PPS_HAB_EU","DE12",2003,134
"PPS_HAB_EU","DE13",2003,113
"PPS_HAB_EU","DE14",2003,121
"PPS_HAB_EU","DE21",2003,171
"PPS_HAB_EU","DE22",2003,107
"PPS_HAB_EU","DE23",2003,111
"PPS_HAB_EU","DE24",2003,101
"PPS_HAB_EU","DE25",2003,125
"PPS_HAB_EU","DE26",2003,115
"PPS_HAB_EU","DE27",2003,114
"PPS_HAB_EU","DE30",2003,110
"PPS_HAB_EU","DE40",2003,79
"PPS_HAB_EU","DE50",2003,160
"PPS_HAB_EU","DE60",2003,211
"PPS_HAB_EU","DE71",2003,172
"PPS_HAB_EU","DE72",2003,106
"PPS_HAB_EU","DE73",2003,115
"PPS_HAB_EU","DE80",2003,76
"PPS_HAB_EU","DE91",2003,112
"PPS_HAB_EU","DE92",2003,113
"PPS_HAB_EU","DE93",2003,82
"PPS_HAB_EU","DE94",2003,99
"PPS_HAB_EU","DEA1",2003,129
"PPS_HAB_EU","DEA2",2003,130
"PPS_HAB_EU","DEA3",2003,100
"PPS_HAB_EU","DEA4",2003,113
"PPS_HAB_EU","DEA5",2003,102
"PPS_HAB_EU","DEB1",2003,100
"PPS_HAB_EU","DEB2",2003,94
"PPS_HAB_EU","DEB3",2003,111
"PPS_HAB_EU","DEC0",2003,107
"PPS_HAB_EU","DED2",2003,87
"PPS_HAB_EU","DED4",2003,77
"PPS_HAB_EU","DED5",2003,87
"PPS_HAB_EU","DEE0",2003,77
"PPS_HAB_EU","DEF0",2003,102
"PPS_HAB_EU","DEG0",2003,77
"PPS_HAB_EU","DK01",2003,147
"PPS_HAB_EU","DK02",2003,90
"PPS_HAB_EU","DK03",2003,112
"PPS_HAB_EU","DK04",2003,116
"PPS_HAB_EU","DK05",2003,111
"PPS_HAB_EU","EE00",2003,52
"PPS_HAB_EU","EL30",2003,120
"PPS_HAB_EU","EL41",2003,72
"PPS_HAB_EU","EL42",2003,104
"PPS_HAB_EU","EL43",2003,85
"PPS_HAB_EU","EL51",2003,70
"PPS_HAB_EU","EL52",2003,75
"PPS_HAB_EU","EL53",2003,86
"PPS_HAB_EU","EL54",2003,72
"PPS_HAB_EU","EL61",2003,76
"PPS_HAB_EU","EL62",2003,94
"PPS_HAB_EU","EL63",2003,72
"PPS_HAB_EU","EL64",2003,94
"PPS_HAB_EU","EL65",2003,76
"PPS_HAB_EU","ES11",2003,80
"PPS_HAB_EU","ES12",2003,85
"PPS_HAB_EU","ES13",2003,93
"PPS_HAB_EU","ES21",2003,122
"PPS_HAB_EU","ES22",2003,124
"PPS_HAB_EU","ES23",2003,109
"PPS_HAB_EU","ES24",2003,107
"PPS_HAB_EU","ES30",2003,132
"PPS_HAB_EU","ES41",2003,91
"PPS_HAB_EU","ES42",2003,80
"PPS_HAB_EU","ES43",2003,65
"PPS_HAB_EU","ES51",2003,120
"PPS_HAB_EU","ES52",2003,94
"PPS_HAB_EU","ES53",2003,115
"PPS_HAB_EU","ES61",2003,76
"PPS_HAB_EU","ES62",2003,84
"PPS_HAB_EU","ES63",2003,87
"PPS_HAB_EU","ES64",2003,86
"PPS_HAB_EU","ES70",2003,96
"PPS_HAB_EU","FI19",2003,102
"PPS_HAB_EU","FI1B",2003,151
"PPS_HAB_EU","FI1C",2003,105
"PPS_HAB_EU","FI1D",2003,92
"PPS_HAB_EU","FI20",2003,147
"PPS_HAB_EU","FR10",2003,171
"PPS_HAB_EU","FR21",2003,101
"PPS_HAB_EU","FR22",2003,91
"PPS_HAB_EU","FR23",2003,101
"PPS_HAB_EU","FR24",2003,99
"PPS_HAB_EU","FR25",2003,93
"PPS_HAB_EU","FR26",2003,97
"PPS_HAB_EU","FR30",2003,89
"PPS_HAB_EU","FR41",2003,92
"PPS_HAB_EU","FR42",2003,108
"PPS_HAB_EU","FR43",2003,97
"PPS_HAB_EU","FR51",2003,102
"PPS_HAB_EU","FR52",2003,97
"PPS_HAB_EU","FR53",2003,94
"PPS_HAB_EU","FR61",2003,101
"PPS_HAB_EU","FR62",2003,99
"PPS_HAB_EU","FR63",2003,92
"PPS_HAB_EU","FR71",2003,111
"PPS_HAB_EU","FR72",2003,94
"PPS_HAB_EU","FR81",2003,87
"PPS_HAB_EU","FR82",2003,104
"PPS_HAB_EU","FR83",2003,85
"PPS_HAB_EU","FRA1",2003,68
"PPS_HAB_EU","FRA2",2003,73
"PPS_HAB_EU","FRA3",2003,56
"PPS_HAB_EU","FRA4",2003,66
"PPS_HAB_EU","FRA5",2003,21
"PPS_HAB_EU","HR03",2003,55
"PPS_HAB_EU","HR04",2003,56
"PPS_HAB_EU","HU10",2003,98
"PPS_HAB_EU","HU21",2003,57
"PPS_HAB_EU","HU22",2003,66
"PPS_HAB_EU","HU23",2003,44
"PPS_HAB_EU","HU31",2003,40
"PPS_HAB_EU","HU32",2003,41
"PPS_HAB_EU","HU33",2003,43
"PPS_HAB_EU","IE01",2003,99
"PPS_HAB_EU","IE02",2003,158
"PPS_HAB_EU","ITC1",2003,122
"PPS_HAB_EU","ITC2",2003,146
"PPS_HAB_EU","ITC3",2003,122
"PPS_HAB_EU","ITC4",2003,148
"PPS_HAB_EU","ITF1",2003,95
"PPS_HAB_EU","ITF2",2003,85
"PPS_HAB_EU","ITF3",2003,75
"PPS_HAB_EU","ITF4",2003,73
"PPS_HAB_EU","ITF5",2003,79
"PPS_HAB_EU","ITF6",2003,67
"PPS_HAB_EU","ITG1",2003,73
"PPS_HAB_EU","ITG2",2003,81
"PPS_HAB_EU","ITH1",2003,148
"PPS_HAB_EU","ITH2",2003,143
"PPS_HAB_EU","ITH3",2003,127
"PPS_HAB_EU","ITH4",2003,119
"PPS_HAB_EU","ITH5",2003,135
"PPS_HAB_EU","ITI1",2003,119
"PPS_HAB_EU","ITI2",2003,108
"PPS_HAB_EU","ITI3",2003,109
"PPS_HAB_EU","ITI4",2003,140
"PPS_HAB_EU","LT00",2003,49
"PPS_HAB_EU","LU00",2003,240
"PPS_HAB_EU","LV00",2003,45
"PPS_HAB_EU","MT00",2003,82
"PPS_HAB_EU","NL11",2003,149
"PPS_HAB_EU","NL12",2003,94
"PPS_HAB_EU","NL13",2003,99
"PPS_HAB_EU","NL21",2003,107
"PPS_HAB_EU","NL22",2003,111
"PPS_HAB_EU","NL23",2003,105
"PPS_HAB_EU","NL31",2003,163
"PPS_HAB_EU","NL32",2003,167
"PPS_HAB_EU","NL33",2003,138
"PPS_HAB_EU","NL34",2003,100
"PPS_HAB_EU","NL41",2003,132
"PPS_HAB_EU","NL42",2003,109
"PPS_HAB_EU","PL11",2003,44
"PPS_HAB_EU","PL12",2003,72
"PPS_HAB_EU","PL21",2003,42
"PPS_HAB_EU","PL22",2003,51
"PPS_HAB_EU","PL31",2003,34
"PPS_HAB_EU","PL32",2003,35
"PPS_HAB_EU","PL33",2003,38
"PPS_HAB_EU","PL34",2003,36
"PPS_HAB_EU","PL41",2003,50
"PPS_HAB_EU","PL42",2003,44
"PPS_HAB_EU","PL43",2003,41
"PPS_HAB_EU","PL51",2003,49
"PPS_HAB_EU","PL52",2003,38
"PPS_HAB_EU","PL61",2003,42
"PPS_HAB_EU","PL62",2003,36
"PPS_HAB_EU","PL63",2003,47
"PPS_HAB_EU","PT11",2003,62
"PPS_HAB_EU","PT15",2003,83
"PPS_HAB_EU","PT16",2003,67
"PPS_HAB_EU","PT17",2003,112
"PPS_HAB_EU","PT18",2003,72
"PPS_HAB_EU","PT20",2003,68
"PPS_HAB_EU","PT30",2003,75
"PPS_HAB_EU","RO11",2003,29
"PPS_HAB_EU","RO12",2003,32
"PPS_HAB_EU","RO21",2003,21
"PPS_HAB_EU","RO22",2003,27
"PPS_HAB_EU","RO31",2003,25
"PPS_HAB_EU","RO32",2003,64
"PPS_HAB_EU","RO41",2003,26
"PPS_HAB_EU","RO42",2003,34
"PPS_HAB_EU","SE11",2003,172
"PPS_HAB_EU","SE12",2003,110
"PPS_HAB_EU","SE21",2003,112
"PPS_HAB_EU","SE22",2003,113
"PPS_HAB_EU","SE23",2003,125
"PPS_HAB_EU","SE31",2003,107
"PPS_HAB_EU","SE32",2003,113
"PPS_HAB_EU","SE33",2003,111
"PPS_HAB_EU","SI03",2003,68
"PPS_HAB_EU","SI04",2003,101
"PPS_HAB_EU","SK01",2003,123
"PPS_HAB_EU","SK02",2003,51
"PPS_HAB_EU","SK03",2003,45
"PPS_HAB_EU","SK04",2003,41
"PPS_HAB_EU","UKC1",2003,84
"PPS_HAB_EU","UKC2",2003,95
"PPS_HAB_EU","UKD1",2003,95
"PPS_HAB_EU","UKD3",2003,107
"PPS_HAB_EU","UKD4",2003,97
"PPS_HAB_EU","UKD6",2003,136
"PPS_HAB_EU","UKD7",2003,94
"PPS_HAB_EU","UKE1",2003,99
"PPS_HAB_EU","UKE2",2003,118
"PPS_HAB_EU","UKE3",2003,89
"PPS_HAB_EU","UKE4",2003,107
"PPS_HAB_EU","UKF1",2003,97
"PPS_HAB_EU","UKF2",2003,111
"PPS_HAB_EU","UKF3",2003,97
"PPS_HAB_EU","UKG1",2003,107
"PPS_HAB_EU","UKG2",2003,95
"PPS_HAB_EU","UKG3",2003,109
"PPS_HAB_EU","UKH1",2003,116
"PPS_HAB_EU","UKH2",2003,138
"PPS_HAB_EU","UKH3",2003,109
"PPS_HAB_EU","UKI3",2003,520
"PPS_HAB_EU","UKI4",2003,198
"PPS_HAB_EU","UKI5",2003,94
"PPS_HAB_EU","UKI6",2003,118
"PPS_HAB_EU","UKI7",2003,141
"PPS_HAB_EU","UKJ1",2003,175
"PPS_HAB_EU","UKJ2",2003,133
"PPS_HAB_EU","UKJ3",2003,124
"PPS_HAB_EU","UKJ4",2003,103
"PPS_HAB_EU","UKK1",2003,130
"PPS_HAB_EU","UKK2",2003,101
"PPS_HAB_EU","UKK3",2003,90
"PPS_HAB_EU","UKK4",2003,96
"PPS_HAB_EU","UKL1",2003,74
"PPS_HAB_EU","UKL2",2003,110
"PPS_HAB_EU","UKM2",2003,116
"PPS_HAB_EU","UKM3",2003,103
"PPS_HAB_EU","UKM5",2003,142
"PPS_HAB_EU","UKM6",2003,101
"PPS_HAB_EU","UKN0",2003,99
"PPS_HAB_EU","AT11",2004,87
"PPS_HAB_EU","AT12",2004,105
"PPS_HAB_EU","AT13",2004,171
"PPS_HAB_EU","AT21",2004,107
"PPS_HAB_EU","AT22",2004,111
"PPS_HAB_EU","AT31",2004,124
"PPS_HAB_EU","AT32",2004,142
"PPS_HAB_EU","AT33",2004,130
"PPS_HAB_EU","AT34",2004,131
"PPS_HAB_EU","BE10",2004,237
"PPS_HAB_EU","BE21",2004,142
"PPS_HAB_EU","BE22",2004,99
"PPS_HAB_EU","BE23",2004,107
"PPS_HAB_EU","BE24",2004,124
"PPS_HAB_EU","BE25",2004,112
"PPS_HAB_EU","BE31",2004,124
"PPS_HAB_EU","BE32",2004,79
"PPS_HAB_EU","BE33",2004,88
"PPS_HAB_EU","BE34",2004,82
"PPS_HAB_EU","BE35",2004,84
"PPS_HAB_EU","BG31",2004,27
"PPS_HAB_EU","BG32",2004,27
"PPS_HAB_EU","BG33",2004,30
"PPS_HAB_EU","BG34",2004,32
"PPS_HAB_EU","BG41",2004,51
"PPS_HAB_EU","BG42",2004,27
"PPS_HAB_EU","CY00",2004,97
"PPS_HAB_EU","CZ01",2004,166
"PPS_HAB_EU","CZ02",2004,76
"PPS_HAB_EU","CZ03",2004,73
"PPS_HAB_EU","CZ04",2004,64
"PPS_HAB_EU","CZ05",2004,66
"PPS_HAB_EU","CZ06",2004,69
"PPS_HAB_EU","CZ07",2004,62
"PPS_HAB_EU","CZ08",2004,64
"PPS_HAB_EU","DE11",2004,148
"PPS_HAB_EU","DE12",2004,132
"PPS_HAB_EU","DE13",2004,112
"PPS_HAB_EU","DE14",2004,121
"PPS_HAB_EU","DE21",2004,172
"PPS_HAB_EU","DE22",2004,109
"PPS_HAB_EU","DE23",2004,111
"PPS_HAB_EU","DE24",2004,102
"PPS_HAB_EU","DE25",2004,127
"PPS_HAB_EU","DE26",2004,115
"PPS_HAB_EU","DE27",2004,114
"PPS_HAB_EU","DE30",2004,107
"PPS_HAB_EU","DE40",2004,79
"PPS_HAB_EU","DE50",2004,158
"PPS_HAB_EU","DE60",2004,210
"PPS_HAB_EU","DE71",2004,170
"PPS_HAB_EU","DE72",2004,107
"PPS_HAB_EU","DE73",2004,112
"PPS_HAB_EU","DE80",2004,76
"PPS_HAB_EU","DE91",2004,113
"PPS_HAB_EU","DE92",2004,111
"PPS_HAB_EU","DE93",2004,82
"PPS_HAB_EU","DE94",2004,101
"PPS_HAB_EU","DEA1",2004,129
"PPS_HAB_EU","DEA2",2004,129
"PPS_HAB_EU","DEA3",2004,102
"PPS_HAB_EU","DEA4",2004,112
"PPS_HAB_EU","DEA5",2004,103
"PPS_HAB_EU","DEB1",2004,100
"PPS_HAB_EU","DEB2",2004,95
"PPS_HAB_EU","DEB3",2004,112
"PPS_HAB_EU","DEC0",2004,110
"PPS_HAB_EU","DED2",2004,88
"PPS_HAB_EU","DED4",2004,78
"PPS_HAB_EU","DED5",2004,87
"PPS_HAB_EU","DEE0",2004,78
"PPS_HAB_EU","DEF0",2004,102
"PPS_HAB_EU","DEG0",2004,78
"PPS_HAB_EU","DK01",2004,151
"PPS_HAB_EU","DK02",2004,91
"PPS_HAB_EU","DK03",2004,112
"PPS_HAB_EU","DK04",2004,115
"PPS_HAB_EU","DK05",2004,108
"PPS_HAB_EU","EE00",2004,55
"PPS_HAB_EU","EL30",2004,125
"PPS_HAB_EU","EL41",2004,72
"PPS_HAB_EU","EL42",2004,106
"PPS_HAB_EU","EL43",2004,87
"PPS_HAB_EU","EL51",2004,69
"PPS_HAB_EU","EL52",2004,77
"PPS_HAB_EU","EL53",2004,86
"PPS_HAB_EU","EL54",2004,70
"PPS_HAB_EU","EL61",2004,76
"PPS_HAB_EU","EL62",2004,94
"PPS_HAB_EU","EL63",2004,73
"PPS_HAB_EU","EL64",2004,91
"PPS_HAB_EU","EL65",2004,75
"PPS_HAB_EU","ES11",2004,81
"PPS_HAB_EU","ES12",2004,86
"PPS_HAB_EU","ES13",2004,93
"PPS_HAB_EU","ES21",2004,123
"PPS_HAB_EU","ES22",2004,124
"PPS_HAB_EU","ES23",2004,107
"PPS_HAB_EU","ES24",2004,107
"PPS_HAB_EU","ES30",2004,131
"PPS_HAB_EU","ES41",2004,92
"PPS_HAB_EU","ES42",2004,79
"PPS_HAB_EU","ES43",2004,65
"PPS_HAB_EU","ES51",2004,119
"PPS_HAB_EU","ES52",2004,92
"PPS_HAB_EU","ES53",2004,113
"PPS_HAB_EU","ES61",2004,77
"PPS_HAB_EU","ES62",2004,83
"PPS_HAB_EU","ES63",2004,87
"PPS_HAB_EU","ES64",2004,87
"PPS_HAB_EU","ES70",2004,93
"PPS_HAB_EU","FI19",2004,103
"PPS_HAB_EU","FI1B",2004,155
"PPS_HAB_EU","FI1C",2004,109
"PPS_HAB_EU","FI1D",2004,95
"PPS_HAB_EU","FI20",2004,149
"PPS_HAB_EU","FR10",2004,167
"PPS_HAB_EU","FR21",2004,103
"PPS_HAB_EU","FR22",2004,89
"PPS_HAB_EU","FR23",2004,99
"PPS_HAB_EU","FR24",2004,98
"PPS_HAB_EU","FR25",2004,93
"PPS_HAB_EU","FR26",2004,96
"PPS_HAB_EU","FR30",2004,88
"PPS_HAB_EU","FR41",2004,92
"PPS_HAB_EU","FR42",2004,105
"PPS_HAB_EU","FR43",2004,95
"PPS_HAB_EU","FR51",2004,100
"PPS_HAB_EU","FR52",2004,97
"PPS_HAB_EU","FR53",2004,92
"PPS_HAB_EU","FR61",2004,99
"PPS_HAB_EU","FR62",2004,98
"PPS_HAB_EU","FR63",2004,89
"PPS_HAB_EU","FR71",2004,111
"PPS_HAB_EU","FR72",2004,93
"PPS_HAB_EU","FR81",2004,86
"PPS_HAB_EU","FR82",2004,103
"PPS_HAB_EU","FR83",2004,83
"PPS_HAB_EU","FRA1",2004,67
"PPS_HAB_EU","FRA2",2004,73
"PPS_HAB_EU","FRA3",2004,53
"PPS_HAB_EU","FRA4",2004,65
"PPS_HAB_EU","FRA5",2004,22
"PPS_HAB_EU","HR03",2004,57
"PPS_HAB_EU","HR04",2004,57
"PPS_HAB_EU","HU10",2004,99
"PPS_HAB_EU","HU21",2004,58
"PPS_HAB_EU","HU22",2004,64
"PPS_HAB_EU","HU23",2004,44
"PPS_HAB_EU","HU31",2004,40
"PPS_HAB_EU","HU32",2004,41
"PPS_HAB_EU","HU33",2004,43
"PPS_HAB_EU","IE01",2004,104
"PPS_HAB_EU","IE02",2004,158
"PPS_HAB_EU","ITC1",2004,118
"PPS_HAB_EU","ITC2",2004,139
"PPS_HAB_EU","ITC3",2004,118
"PPS_HAB_EU","ITC4",2004,141
"PPS_HAB_EU","ITF1",2004,88
"PPS_HAB_EU","ITF2",2004,82
"PPS_HAB_EU","ITF3",2004,72
"PPS_HAB_EU","ITF4",2004,70
"PPS_HAB_EU","ITF5",2004,76
"PPS_HAB_EU","ITF6",2004,66
"PPS_HAB_EU","ITG1",2004,70
"PPS_HAB_EU","ITG2",2004,79
"PPS_HAB_EU","ITH1",2004,145
"PPS_HAB_EU","ITH2",2004,136
"PPS_HAB_EU","ITH3",2004,123
"PPS_HAB_EU","ITH4",2004,115
"PPS_HAB_EU","ITH5",2004,130
"PPS_HAB_EU","ITI1",2004,114
"PPS_HAB_EU","ITI2",2004,104
"PPS_HAB_EU","ITI3",2004,105
"PPS_HAB_EU","ITI4",2004,138
