"geo_code","indic_de","geo","time","values"
"AT11","Crude rate of net migration plus statistical adjustment","Burgenland (AT)",2003,3.8
"AT12","Crude rate of net migration plus statistical adjustment","Niederösterreich",2003,6.5
"AT13","Crude rate of net migration plus statistical adjustment","Wien",2003,11.3
"AT21","Crude rate of net migration plus statistical adjustment","Kärnten",2003,-0.4
"AT22","Crude rate of net migration plus statistical adjustment","Steiermark",2003,3.6
"AT31","Crude rate of net migration plus statistical adjustment","Oberösterreich",2003,2.7
"AT32","Crude rate of net migration plus statistical adjustment","Salzburg",2003,3.3
"AT33","Crude rate of net migration plus statistical adjustment","Tirol",2003,3.6
"AT34","Crude rate of net migration plus statistical adjustment","Vorarlberg",2003,3.5
"BE10","Crude rate of net migration plus statistical adjustment","Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest",2003,3.5
"BE21","Crude rate of net migration plus statistical adjustment","Prov. Antwerpen",2003,4
"BE22","Crude rate of net migration plus statistical adjustment","Prov. Limburg (BE)",2003,2.9
"BE23","Crude rate of net migration plus statistical adjustment","Prov. Oost-Vlaanderen",2003,2.8
"BE24","Crude rate of net migration plus statistical adjustment","Prov. Vlaams-Brabant",2003,3.4
"BE25","Crude rate of net migration plus statistical adjustment","Prov. West-Vlaanderen",2003,2.8
"BE31","Crude rate of net migration plus statistical adjustment","Prov. Brabant Wallon",2003,5.9
"BE32","Crude rate of net migration plus statistical adjustment","Prov. Hainaut",2003,2.1
"BE33","Crude rate of net migration plus statistical adjustment","Prov. Liège",2003,4.2
"BE34","Crude rate of net migration plus statistical adjustment","Prov. Luxembourg (BE)",2003,4.4
"BE35","Crude rate of net migration plus statistical adjustment","Prov. Namur",2003,4.6
"BG31","Crude rate of net migration plus statistical adjustment","Severozapaden",2003,-10
"BG32","Crude rate of net migration plus statistical adjustment","Severen tsentralen",2003,-7.9
"BG33","Crude rate of net migration plus statistical adjustment","Severoiztochen",2003,-1.8
"BG34","Crude rate of net migration plus statistical adjustment","Yugoiztochen",2003,-4.3
"BG41","Crude rate of net migration plus statistical adjustment","Yugozapaden",2003,7.3
"BG42","Crude rate of net migration plus statistical adjustment","Yuzhen tsentralen",2003,-4.4
"CH01","Crude rate of net migration plus statistical adjustment","Région lémanique",2003,10.4
"CH02","Crude rate of net migration plus statistical adjustment","Espace Mittelland",2003,3.8
"CH03","Crude rate of net migration plus statistical adjustment","Nordwestschweiz",2003,5.4
"CH04","Crude rate of net migration plus statistical adjustment","Zürich",2003,5.1
"CH05","Crude rate of net migration plus statistical adjustment","Ostschweiz",2003,4.2
"CH06","Crude rate of net migration plus statistical adjustment","Zentralschweiz",2003,4
"CH07","Crude rate of net migration plus statistical adjustment","Ticino",2003,7.1
"CY00","Crude rate of net migration plus statistical adjustment","Kypros",2003,8.7
"CZ01","Crude rate of net migration plus statistical adjustment","Praha",2003,4.1
"CZ02","Crude rate of net migration plus statistical adjustment","Strední Cechy",2003,8.5
"CZ03","Crude rate of net migration plus statistical adjustment","Jihozápad",2003,2.3
"CZ04","Crude rate of net migration plus statistical adjustment","Severozápad",2003,1.1
"CZ05","Crude rate of net migration plus statistical adjustment","Severovýchod",2003,0
