"geo_code","geo","time","values"
"AL","Albania",1990,-27.7
"AT","Austria",1990,7.6
"BA","Bosnia and Herzegovina",1990,-4.2
"BE","Belgium",1990,2
"BG","Bulgaria",1990,-10.9
"CH","Switzerland",1990,9.4
"CY","Cyprus",1990,15
"CZ","Czech Republic",1990,-5.7
"DE","Germany (until 1990 former territory of the FRG)",1990,16.3
"DK","Denmark",1990,1.7
"EA18","Euro area (18 countries)",1990,2.9
"EA19","Euro area (19 countries)",1990,2.8
"EE","Estonia",1990,-3.6
"EL","Greece",1990,14.1
"ES","Spain",1990,-1
"EU27","European Union (27 countries)",1990,1.5
"EU28","European Union (28 countries)",1990,1.5
"FI","Finland",1990,1.7
"HR","Croatia",1990,1.3
"HU","Hungary",1990,1.8
"IE","Ireland",1990,-2.2
"IS","Iceland",1990,-3.9
"IT","Italy",1990,0.4
"LI","Liechtenstein",1990,13.8
"LT","Lithuania",1990,-2.4
"LU","Luxembourg",1990,10.3
"LV","Latvia",1990,-4.9
"MK","Former Yugoslav Republic of Macedonia, the",1990,-1.6
"MT","Malta",1990,2.4
"NL","Netherlands",1990,3.3
"NO","Norway",1990,0.4
"PL","Poland",1990,-0.3
"PT","Portugal",1990,-3.9
"RO","Romania",1990,-3.7
"SE","Sweden",1990,4.1
"SI","Slovenia",1990,-0.1
"SK","Slovakia",1990,-0.4
"UK","United Kingdom",1990,0.4
"XK","Kosovo (under United Nations Security Council Resolution 1244/99)",1990,-4.1
"AL","Albania",1991,-40.1
"AT","Austria",1991,9.9
"BA","Bosnia and Herzegovina",1991,-37.2
"BE","Belgium",1991,1.3
"BG","Bulgaria",1991,-6.9
"CH","Switzerland",1991,9.1
"CY","Cyprus",1991,17.7
"CZ","Czech Republic",1991,0.3
"DE","Germany (until 1990 former territory of the FRG)",1991,7.5
"DK","Denmark",1991,2.1
"EA18","Euro area (18 countries)",1991,3
"EA19","Euro area (19 countries)",1991,2.9
"EE","Estonia",1991,-8.1
"EL","Greece",1991,8.5
"ES","Spain",1991,2.9
"EU27","European Union (27 countries)",1991,1.1
"EU28","European Union (28 countries)",1991,0.7
"FI","Finland",1991,2.9
"HR","Croatia",1991,-39.1
"HU","Hungary",1991,1.7
"IE","Ireland",1991,1.4
"IS","Iceland",1991,4.4
"IT","Italy",1991,0.3
"LI","Liechtenstein",1991,4.3
"LT","Lithuania",1991,-2.9
"LU","Luxembourg",1991,10.2
"LV","Latvia",1991,-5.7
"MK","Former Yugoslav Republic of Macedonia, the",1991,-1
"MT","Malta",1991,3.4
"NL","Netherlands",1991,3.3
"NO","Norway",1991,1.9
"PL","Poland",1991,-0.4
"PT","Portugal",1991,-3.3
"RO","Romania",1991,-17.6
"SE","Sweden",1991,2.9
"SI","Slovenia",1991,-1.6
"SK","Slovakia",1991,-7.3
"UK","United Kingdom",1991,0.5
"XK","Kosovo (under United Nations Security Council Resolution 1244/99)",1991,-2.9
"AL","Albania",1992,-25.2
"AT","Austria",1992,9.1
"BE","Belgium",1992,2.6
"BG","Bulgaria",1992,-10.7
"CH","Switzerland",1992,5.9
"CY","Cyprus",1992,16.4
"CZ","Czech Republic",1992,1.1
"DE","Germany (until 1990 former territory of the FRG)",1992,9.6
"DK","Denmark",1992,2.2
"EA18","Euro area (18 countries)",1992,3.6
"EA19","Euro area (19 countries)",1992,3.4
"EE","Estonia",1992,-27.1
"EL","Greece",1992,5.6
"ES","Spain",1992,3.8
"EU27","European Union (27 countries)",1992,2.1
"EU28","European Union (28 countries)",1992,2
"FI","Finland",1992,1.8
"HR","Croatia",1992,-7.7
"HU","Hungary",1992,1.8
