"geo","values"
"AT11",89
"AT12",105
"AT13",158
"AT21",108
"AT22",116
"AT31",132
"AT32",152
"AT33",138
"AT34",139
"BE10",207
"BE21",138
"BE22",98
"BE23",108
"BE24",129
"BE25",115
"BE31",130
"BE32",76
"BE33",87
"BE34",76
"BE35",83
"BG31",30
"BG32",34
"BG33",39
"BG34",39
"BG41",75
"BG42",32
"CY00",82
"CZ01",173
"CZ02",77
"CZ03",76
"CZ04",63
"CZ05",70
"CZ06",79
"CZ07",70
"CZ08",70
"DE11",162
"DE12",140
"DE13",122
"DE14",136
"DE21",179
"DE22",121
"DE23",128
"DE24",114
"DE25",135
"DE26",127
"DE27",125
"DE30",119
"DE40",88
"DE50",161
"DE60",206
"DE71",163
"DE72",109
"DE73",118
"DE80",84
"DE91",136
"DE92",121
"DE93",88
"DE94",111
"DEA1",134
"DEA2",132
"DEA3",109
"DEA4",122
"DEA5",113
"DEB1",107
"DEB2",99
"DEB3",119
"DEC0",119
"DED2",95
"DED4",87
"DED5",103
"DEE0",87
"DEF0",104
"DEG0",88
"DK01",157
"DK02",85
"DK03",112
"DK04",112
"DK05",107
"EE00",76
"EL30",99
"EL41",57
"EL42",80
"EL43",63
"EL51",50
"EL52",56
"EL53",66
"EL54",51
"EL61",55
"EL62",67
"EL63",54
"EL64",61
"EL65",58
"ES11",80
"ES12",80
"ES13",82
"ES21",119
"ES22",113
"ES23",100
"ES24",100
"ES30",125
"ES41",86
"ES42",72
"ES43",63
"ES51",108
"ES52",80
"ES53",96
"ES61",67
"ES62",74
"ES63",76
"ES64",68
"ES70",78
"FI19",99
"FI1B",144
"FI1C",97
"FI1D",91
"FI20",138
"FR10",178
"FR21",94
"FR22",78
"FR23",93
"FR24",88
"FR25",85
"FR26",90
"FR30",85
"FR41",79
"FR42",97
"FR43",77
"FR51",95
"FR52",88
"FR53",87
"FR61",92
"FR62",96
"FR63",80
"FR71",106
"FR72",85
"FR81",81
"FR82",102
"FR83",89
"FRA1",73
"FRA2",77
"FRA3",58
"FRA4",70
"FRA5",31
"HR03",57
"HR04",60
"HU10",107
"HU21",61
"HU22",71
"HU23",45
"HU31",42
"HU32",43
"HU33",47
"IE01",88
"IE02",150
"ITC1",100
"ITC2",133
"ITC3",104
"ITC4",126
"ITF1",84
"ITF2",75
"ITF3",61
"ITF4",63
"ITF5",69
"ITF6",59
"ITG1",62
"ITG2",72
"ITH1",144
"ITH2",123
"ITH3",108
"ITH4",101
"ITH5",117
"ITI1",104
"ITI2",87
"ITI3",92
"ITI4",114
"LT00",75
"LU00",266
"LV00",64
"MK00",37
"MT00",86
"NL11",163
"NL12",93
"NL13",94
"NL21",107
"NL22",110
"NL23",100
"NL31",154
"NL32",161
"NL33",131
"NL34",100
"NL41",134
"NL42",109
"PL11",63
"PL12",108
"PL21",60
"PL22",70
"PL31",47
"PL32",48
"PL33",49
"PL34",49
"PL41",73
"PL42",57
"PL43",57
"PL51",76
"PL52",55
"PL61",55
"PL62",48
"PL63",64
"PT11",65
"PT15",78
"PT16",67
"PT17",106
"PT18",70
"PT20",71
"PT30",73
"RO11",48
"RO12",52
"RO21",34
"RO22",50
"RO31",43
"RO32",129
"RO41",41
"RO42",58
"SE11",172
"SE12",106
"SE21",104
"SE22",105
"SE23",118
"SE31",99
"SE32",107
"SE33",114
"SI03",68
"SI04",98
"SK01",186
"SK02",72
"SK03",61
"SK04",53
"UKC1",74
"UKC2",84
"UKD1",94
"UKD3",92
"UKD4",82
"UKD6",123
"UKD7",81
"UKE1",83
"UKE2",98
"UKE3",76
"UKE4",91
"UKF1",87
"UKF2",96
"UKF3",81
"UKG1",97
"UKG2",82
"UKG3",86
"UKH1",101
"UKH2",113
"UKH3",88
"UKI3",539
"UKI4",204
"UKI5",81
"UKI6",98
"UKI7",121
"UKJ1",149
"UKJ2",115
"UKJ3",112
"UKJ4",88
"UKK1",112
"UKK2",90
"UKK3",75
"UKK4",85
"UKL1",69
"UKL2",90
"UKM2",99
"UKM3",91
"UKM5",164
"UKM6",93
"UKN0",82
