code,EN,FR,DE,IT,PT,AR,RU,ES,JA,ZH
title1,Which countries have more immigrants than emigrants?,D'où est-ce que les gens partent? Où émigrent-ils?,Woher kommen die Menschen? Wohin wandern sie aus?,Da dove la gente parte? E dove emigra?,De onde as pessoas saem? Para onde elas vão?,من أين يقدُم المهاجرون؟ وما هي الوجهات التي يقصدونها؟,Откуда прибывают мигранты? В какую страну едут мигранты?,¿De qué países parten las personas? ¿A dónde emigran?,移民はどの国から来てどの国へ移住するのか？,移民从哪儿来，又到哪儿去？
descr1,Net migration rate (Difference between the number of immigrants and emigrants) by region per 1000 inhabitants in 2014. The rate is positive (green) if there are more people entering than leaving and negative (brown) if the opposite is true.,Taux net de migration (nombre d'immigrants moins nombre d'émigrants) par région et pour mille habitants en 2014. Ce taux est positif (vert) s'il y a plus d'entrées que de sorties ou négatif dans le cas contraire (brun).,"Netto Migrationssaldo (Anzahl Einwanderer minus Anzahl Auswanderer) pro Region und 1000 Einwohner im Jahr 2014. Der Saldo ist positiv (grün), wenn mehr Menschen einwandern als auswandern, und er ist negativ (braun) im umgekehrten Fall.",Tasso netto di migrazione (numero di immigranti meno numero di emigranti) per regione e per mille abitanti nel 2014. Il tasso è positivo (verde) se vi sono più entrate che uscite o negativo (marrone) nel caso contrario.,"Taxa de migração líquida (número de imigrantes menos o número de emigrantes) por região e por mil habitantes em 2014. Essa taxa é positiva (verde), se há mais entradas do que saídas, ou negativa no caso contrário (marrom)",معدل صافي الهجرة (عدد المهاجرين الوافدين ناقص عدد المهاجرين المغادرين) حسب المنطقة ولكل ألف ساكن في عام 2014. هذا المعدل إيجابي (بالأخضر) إذا كان عدد الوافدين أكبر من عدد المغادرين أو سلبي (بالبنّي) في حال حدوث العكس. ,"Миграционный баланс (число въехавших в страну минус число покинувших ее) в 2014 году. По регионам, на 1000 жителей. Баланс считается положительным (отмечен зеленым цветом), если въехало в страну больше, чем выехало. Если наоборот, то это называется негативный баланс (отмечен коричневым цветом).",Tasa de migración neta (número de inmigrantes menos número de emigrantes) por región y por cada mil habitantes en 2004. La tasa es positiva (verde) si hay más entradas que salidas o negativa (marrón) en el caso contrario.,２０１４年における地域別、住民１千人当たりの純移民率（入ってきた移民数から出て行った移民数を引いたもの）。入ってきた人数の方が多ければプラス（緑色で表示）、逆であればマイナス（茶色）となる。,2014年，各个地区每千人的净移民率(即移入人数和移出人数的差值与该地区总人口的比率)。若该比值为绿色，移入人口则多于移出人口；若该比值为棕色，移入人口则少于移出人口。
leg.title,Net migration rate,Taux net de migration,Netto Migrationssaldo,Tasso netto di migrazione  ,Taxa de migração líquida,Net migration rate,Миграционный баланс,Tasa de migración neta,純移民率,净移民率
source,Source,source,Quelle,Fonte,fonte,المصدر,Источник,Fuente,出典,来源
source.name,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat,Eurostat
source.url,http://ec.europa.eu/eurostat/web/products-datasets/-/tgs00099,http://ec.europa.eu/eurostat/web/products-datasets/-/tgs00099,http://ec.europa.eu/eurostat/web/products-datasets/-/tgs00099,http://ec.europa.eu/eurostat/web/products-datasets/-/tgs00099,http://ec.europa.eu/eurostat/web/products-datasets/-/tgs00099,http://ec.europa.eu/eurostat/web/products-datasets/-/tgs00099,http://ec.europa.eu/eurostat/web/products-datasets/-/tgs00099,http://ec.europa.eu/eurostat/web/products-datasets/-/tgs00099,http://ec.europa.eu/eurostat/web/products-datasets/-/tgs00099,http://ec.europa.eu/eurostat/web/products-datasets/-/tgs00099
source2.name,EuroGeographics for the administrative boundaries,EuroGeographics pour les limites administratives,EuroGeographics bezuglich der Verwaltungsgrenzen,EuroGeographics per i confini amministrativi,EuroGeographics para os limites administrativos,EuroGeographics  ,EuroGeographics  ,EuroGeographics,欧州地図協会（EuroGeographics）行政区分,欧洲制图学会(EuroGeographics)政区地图
source2.url,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts,http://ec.europa.eu/eurostat/web/gisco/geodata/reference-data/administrative-units-statistical-units/nuts
code,Code,code,Code,Codice,código,الرمز,Код,código,コード,代码
code.name,ggiraph,ggiraph,ggiraph,ggiraph,ggiraph,ggiraph,ggiraph,ggiraph,ggiraph,ggiraph
